festivo,fecha
año nuevo,01/01/1997
aniversario de la Constitucion de 1917,05/02/1997
natalicio de Benito Juarez Garcia,21/03/1997
jueves santo,27/03/1997
viernes santo,28/03/1997
dia del trabajo,01/05/1997
dia de la madre,10/05/1997
dia de la Independencia,16/09/1997
dia de la Virgen de Zapopan,12/10/1997
dia de los muertos,02/11/1997
dia de la Revolucion,20/11/1997
dia de la Virgen de Guadalupe,12/12/1997
Navidad,25/12/1997
año nuevo,01/01/1998
aniversario de la Constitucion de 1917,05/02/1998
natalicio de Benito Juarez Garcia,21/03/1998
jueves santo,09/04/1998
viernes santo,10/04/1998
dia del trabajo,01/05/1998
dia de la madre,10/05/1998
dia de la Independencia,16/09/1998
dia de la Virgen de Zapopan,12/10/1998
dia de los muertos,02/11/1998
dia de la Revolucion,20/11/1998
dia de la Virgen de Guadalupe,12/12/1998
Navidad,25/12/1998
año nuevo,01/01/1999
aniversario de la Constitucion de 1917,05/02/1999
natalicio de Benito Juarez Garcia,21/03/1999
jueves santo,01/04/1999
viernes santo,02/04/1999
dia del trabajo,01/05/1999
dia de la madre,10/05/1999
dia de la Independencia,16/09/1999
dia de la Virgen de Zapopan,12/10/1999
dia de los muertos,02/11/1999
dia de la Revolucion,20/11/1999
dia de la Virgen de Guadalupe,12/12/1999
Navidad,25/12/1999
año nuevo,01/01/2000
aniversario de la Constitucion de 1917,05/02/2000
natalicio de Benito Juarez Garcia,21/03/2000
jueves santo,20/04/2000
viernes santo,21/04/2000
dia del trabajo,01/05/2000
dia de la madre,10/05/2000
elecciones presidenciales,02/07/2000
dia de la Independencia,16/09/2000
dia de la Virgen de Zapopan,12/10/2000
dia de los muertos,02/11/2000
dia de la Revolucion,20/11/2000
cambio de poder,01/12/2000
dia de la Virgen de Guadalupe,12/12/2000
Navidad,25/12/2000
año nuevo,01/01/2001
aniversario de la Constitucion de 1917,05/02/2001
natalicio de Benito Juarez Garcia,21/03/2001
jueves santo,12/04/2001
viernes santo,13/04/2001
dia del trabajo,01/05/2001
dia de la madre,10/05/2001
dia de la Independencia,16/09/2001
dia de la Virgen de Zapopan,12/10/2001
dia de los muertos,02/11/2001
dia de la Revolucion,20/11/2001
dia de la Virgen de Guadalupe,12/12/2001
Navidad,25/12/2001
año nuevo,01/01/2002
aniversario de la Constitucion de 1917,05/02/2002
natalicio de Benito Juarez Garcia,21/03/2002
jueves santo,28/03/2002
viernes santo,29/03/2002
dia del trabajo,01/05/2002
dia de la madre,10/05/2002
dia de la Independencia,16/09/2002
dia de la Virgen de Zapopan,12/10/2002
dia de los muertos,02/11/2002
dia de la Revolucion,20/11/2002
dia de la Virgen de Guadalupe,12/12/2002
Navidad,25/12/2002
año nuevo,01/01/2003
aniversario de la Constitucion de 1917,05/02/2003
natalicio de Benito Juarez Garcia,21/03/2003
jueves santo,17/04/2003
viernes santo,18/04/2003
dia del trabajo,01/05/2003
dia de la madre,10/05/2003
dia de la Independencia,16/09/2003
dia de la Virgen de Zapopan,12/10/2003
dia de los muertos,02/11/2003
dia de la Revolucion,20/11/2003
dia de la Virgen de Guadalupe,12/12/2003
Navidad,25/12/2003
año nuevo,01/01/2004
aniversario de la Constitucion de 1917,05/02/2004
natalicio de Benito Juarez Garcia,21/03/2004
jueves santo,08/04/2004
viernes santo,09/04/2004
dia del trabajo,01/05/2004
dia de la madre,10/05/2004
dia de la Independencia,16/09/2004
dia de la Virgen de Zapopan,12/10/2004
dia de los muertos,02/11/2004
dia de la Revolucion,20/11/2004
dia de la Virgen de Guadalupe,12/12/2004
Navidad,25/12/2004
año nuevo,01/01/2005
aniversario de la Constitucion de 1917,05/02/2005
natalicio de Benito Juarez Garcia,21/03/2005
jueves santo,24/03/2005
viernes santo,25/03/2005
dia del trabajo,01/05/2005
dia de la madre,10/05/2005
dia de la Independencia,16/09/2005
dia de la Virgen de Zapopan,12/10/2005
dia de los muertos,02/11/2005
dia de la Revolucion,20/11/2005
dia de la Virgen de Guadalupe,12/12/2005
Navidad,25/12/2005
año nuevo,01/01/2006
aniversario de la Constitucion de 1917,05/02/2006
natalicio de Benito Juarez Garcia,21/03/2006
jueves santo,13/04/2006
viernes santo,14/04/2006
dia del trabajo,01/05/2006
dia de la madre,10/05/2006
elecciones presidenciales,02/07/2006
dia de la Independencia,16/09/2006
