date,y,e-classic,e-MAPE,V-classic,V-MAPE
01/01/2007,98112.97,127571.0628,125991.1402,126960.0514,126646.7277
02/01/2007,127893.159,134147.7294,133335.1379,131709.5351,130502.7965
03/01/2007,138938.871,137702.0209,137444.6595,134749.4883,133710.8382
04/01/2007,139524.685,138288.3485,139920.6527,136552.5036,135868.5527
05/01/2007,139875.239,138639.5518,138373.8597,135685.5433,134651.7389
06/01/2007,135641.745,134406.8866,134720.7747,132942.8527,132155.7683
07/01/2007,122696.745,121462.8298,122036.7756,125006.0874,124850.656
08/01/2007,137743.895,135672.2624,136688.5786,133906.2949,133367.414
09/01/2007,141967.037,140735.4551,141587.4628,137776.3245,136687.5082
10/01/2007,142831.306,142355.5956,143337.1921,139729.0842,139025.8243
11/01/2007,143252.465,142023.7963,144016.4023,139942.4795,139250.8622
12/01/2007,139320.516,141192.1987,140798.9595,137854.3005,136789.5967
13/01/2007,137734.926,136237.1139,136253.4366,133542.5873,132584.1531
14/01/2007,123426.003,121525.2627,122059.4928,123389.3508,123029.6822
15/01/2007,138324.109,134939.1235,136093.0507,134130.7427,133164.1699
16/01/2007,142405.036,139552.8416,140746.8056,138509.4372,137122.2371
17/01/2007,143341.418,141640.8867,142599.7847,140994.1439,140027.8009
18/01/2007,145550.841,142329.3236,143916.3341,141355.6951,140181.4051
19/01/2007,143823.482,142304.4103,142296.9368,140040.9219,138507.9923
20/01/2007,138669.794,137461.3818,137258.7912,135796.3956,134165.1671
21/01/2007,121741.158,121831.8713,122339.2223,125549.6945,124199.9228
22/01/2007,139010.637,135762.6813,136689.0385,136447.1075,134921.4648
23/01/2007,142231.444,139910.8158,140720.7776,140419.1396,138625.0342
24/01/2007,142273.596,141077.9611,142112.6997,142583.754,141333.3379
25/01/2007,142284.274,141190.282,143049.8907,142433.2921,140857.2125
26/01/2007,141304.177,140115.7811,140748.7117,140948.5783,139266.1344
27/01/2007,134281.532,135311.628,135838.7506,136145.2832,134464.3867
